Date;Pair;Side;Price;Quantity;Amount;Fee;RealizedProfit
02/03/2021 16:01;XRPUSDT;BUY;0.4415;203.7;89.9335500000 USDT;-0.0089933500 USDT;-0.79926
02/03/2021 16:01;BANDUSDT;BUY;13.04;5.6;73.0240000000 USDT;-0.0073024000 USDT;1.269
02/03/2021 16:01;THETAUSDT;BUY;3.844;21.4;82.2616000000 USDT;-0.0082261600 USDT;-6.825
02/03/2021 16:01;LRCUSDT;BUY;0.5822;133;77.4326000000 USDT;-0.0077432600 USDT;-0.24321
02/03/2021 16:01;ATOMUSDT;BUY;19.65;4.87;95.6955000000 USDT;-0.0095695500 USDT;0.648
02/03/2021 16:01;ENJUSDT;BUY;0.802;134;107.4680000000 USDT;-0.0107468000 USDT;1.508
02/03/2021 16:01;QTUMUSDT;BUY;5.253;15.5;81.4215000000 USDT;-0.0081421500 USDT;-1.248
02/03/2021 16:01;EOSUSDT;BUY;3.735;25.7;95.9895000000 USDT;-0.0095989500 USDT;-0.8908
02/03/2021 16:01;SRMUSDT;BUY;5.497;18;98.9460000000 USDT;-0.0098946000 USDT;0.297
02/03/2021 16:02;WAVESUSDT;BUY;9.755;8.9;86.8195000000 USDT;-0.0086819500 USDT;0.16016
02/03/2021 16:02;ZILUSDT;BUY;0.1156;1002;115.8312000000 USDT;-0.0115831200 USDT;0.1002
02/03/2021 16:02;FTMUSDT;BUY;0.5403;181;97.7943000000 USDT;-0.0097794300 USDT;2.571744
02/03/2021 16:03;KNCUSDT;BUY;1.7;55;93.5000000000 USDT;-0.0093500000 USDT;1.21635
02/03/2021 16:05;SNXUSDT;SELL;23;2.8;64.4000000000 USDT;-0.0064400000 USDT;1.2404
02/03/2021 16:37;ALGOUSDT;BUY;1.118;63;70.4340000000 USDT;-0.0070434000 USDT;-1.76423
02/03/2021 16:37;ZRXUSDT;BUY;1.376;73.2;100.7232000000 USDT;-0.0100723100 USDT;1.2495
02/03/2021 18:00;XLMUSDT;SELL;0.40692;232;94.4054400000 USDT;-0.0283216300 USDT;-2.52648
02/03/2021 18:00;ADAUSDT;BUY;1.212;44;53.3280000000 USDT;-0.0053328000 USDT;0.21
02/03/2021 18:00;ZECUSDT;BUY;120.19;0.714;85.8156600000 USDT;-0.0085815600 USDT;0.2201
